config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
237,0.05,0.005,0.8,0.15,0.00012,0.7,80,False,0.6068,0.4837,0.5575,2.29
238,0.05,0.005,0.8,0.15,0.00012,0.7,80,True,0.6597,0.6225,0.6448,2.29
239,0.05,0.005,0.8,0.15,0.00012,0.7,100,False,0.6344,0.5803,0.6127,2.86
240,0.05,0.005,0.8,0.15,0.00012,0.7,100,True,0.6940,0.5905,0.6526,2.87
241,0.05,0.005,0.8,0.15,0.00015,0.4,80,False,0.6947,0.6037,0.6583,2.29
242,0.05,0.005,0.8,0.15,0.00015,0.4,80,True,0.4413,0.4559,0.4471,2.29
243,0.05,0.005,0.8,0.15,0.00015,0.4,100,False,0.5698,0.5124,0.5468,2.86
244,0.05,0.005,0.8,0.15,0.00015,0.4,100,True,0.6585,0.5859,0.6295,2.86
245,0.05,0.005,0.8,0.15,0.00015,0.5,80,False,0.5711,0.5264,0.5532,2.29
246,0.05,0.005,0.8,0.15,0.00015,0.5,80,True,0.3907,0.4459,0.4128,2.29
247,0.05,0.005,0.8,0.15,0.00015,0.5,100,False,0.6410,0.5962,0.6230,2.86
248,0.05,0.005,0.8,0.15,0.00015,0.5,100,True,0.3970,0.3600,0.3822,2.30
249,0.05,0.005,0.8,0.15,0.00015,0.6,80,False,0.5231,0.4806,0.5061,2.29
250,0.05,0.005,0.8,0.15,0.00015,0.6,80,True,0.5072,0.5083,0.5076,2.29
251,0.05,0.005,0.8,0.15,0.00015,0.6,100,False,0.4879,0.4850,0.4868,2.87
252,0.05,0.005,0.8,0.15,0.00015,0.6,100,True,0.5283,0.4928,0.5141,2.86
253,0.05,0.005,0.8,0.15,0.00015,0.7,80,False,0.5304,0.4762,0.5087,2.29
254,0.05,0.005,0.8,0.15,0.00015,0.7,80,True,0.5662,0.5346,0.5536,2.29
255,0.05,0.005,0.8,0.15,0.00015,0.7,100,False,0.5739,0.5922,0.5812,2.86
